Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/22/2016,N (Jul 17),19.65,19.86,19.65,19.75,19.7500,0.02,305,0,1447
11/23/2016,N (Jul 17),19.80,19.87,19.71,19.80,19.8250,0.08,305,0,1588
11/25/2016,N (Jul 17),19.75,19.89,19.75,19.84,19.8000,-0.02,97,0,1634
11/28/2016,N (Jul 17),19.90,19.97,19.80,19.85,19.8500,0.05,156,0,1714
11/29/2016,N (Jul 17),19.80,19.90,19.76,19.84,19.8500,0.00,333,0,1857
11/30/2016,N (Jul 17),19.79,19.87,19.70,19.80,19.7750,-0.08,883,0,2517
12/01/2016,N (Jul 17),19.80,20.10,19.70,19.91,19.9250,0.15,570,0,2779
12/02/2016,N (Jul 17),19.95,20.10,19.80,19.95,20.0000,0.08,302,0,2946
12/05/2016,N (Jul 17),20.00,20.15,19.65,19.65,19.6250,-0.38,398,0,3053
12/06/2016,N (Jul 17),19.64,19.68,19.45,19.45,19.4750,-0.15,390,0,3142
12/07/2016,N (Jul 17),19.45,19.60,19.40,19.55,19.5750,0.10,426,0,3276
12/08/2016,N (Jul 17),19.56,19.76,19.46,19.65,19.6500,0.08,894,0,3629
12/09/2016,N (Jul 17),19.67,19.72,19.50,19.50,19.5000,-0.15,428,0,3900
12/12/2016,N (Jul 17),19.50,19.75,19.45,19.65,19.7000,0.20,383,0,4091
12/13/2016,N (Jul 17),19.65,19.78,19.57,19.69,19.6750,-0.02,602,0,4386
12/14/2016,N (Jul 17),19.75,19.80,19.50,19.57,19.5250,-0.15,220,0,4543
12/15/2016,N (Jul 17),19.53,19.62,19.43,19.55,19.5250,0.00,469,0,4697
12/16/2016,N (Jul 17),19.55,19.65,19.50,19.54,19.5500,0.02,343,0,4859
12/19/2016,N (Jul 17),19.55,19.55,19.33,19.33,19.3500,-0.20,298,0,4946
12/20/2016,N (Jul 17),19.36,19.42,19.24,19.30,19.2500,-0.10,770,0,5155
